Metrik,Nilai,Target/Status
Total Kalori (7 hari),2079.1 kcal,50-80 kcal
Total Protein (g),228.79 g,≥30% dari kalori
Total Serat (g),156.60 g,≥35% dari massa
Total Kalsium (g),307.86 g,Rasio 2:1 dengan P
Total Fosfor (g),7.38 g,Seimbang dengan Ca
Total Gula (g),291.00 g,≤10% dari kalori
Persentase Protein (%),44.0%,30% (target)
Persentase Serat (%),24.8%,35% (target)
Rasio Ca:P,41.71:1,2:1 (optimal)
Persentase Gula (%),56.0%,≤10% (target)
Fitness Score,0.3323,Maksimal 1.0
Variasi Protein,4/7 jenis,Semakin bervariasi semakin baik
